movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres
10386,The Iron Giant,1999-08-06,50000000,23300000,86,7.953,5973,6.5527,"['Animation', 'Family', 'Science Fiction', 'Drama']"
10404,Raise the Red Lantern,1991-12-18,1000000,16600000,125,7.926,773,3.5345,['Drama']
10437,The Muppet Christmas Carol,1992-12-11,12000000,27300000,86,7.431,1121,44.1512,"['Music', 'Comedy', 'Family', 'Fantasy', 'Drama']"
10494,Perfect Blue,1998-02-28,3000000,683666,82,8.299,3010,8.6143,"['Animation', 'Thriller']"
10515,Castle in the Sky,1986-08-02,3000000,5228752,125,8.0,4519,7.8038,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']"
10640,Futureworld,1976-08-13,2500000,4200000,108,5.9,346,13.9439,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
10674,Mulan,1998-06-18,90000000,304320254,88,7.9,10202,11.2487,"['Animation', 'Family', 'Adventure']"
10681,WALL·E,2008-06-22,180000000,521311860,98,8.106,19754,17.6022,"['Animation', 'Family', 'Science Fiction']"
10728,Faust,1926-10-13,0,0,116,7.9,382,1.3945,"['Fantasy', 'Drama', 'Horror']"
10743,Confidence,2003-04-25,15000000,23014206,97,6.3,467,18.0918,"['Action', 'Comedy', 'Thriller', 'Crime', 'Mystery']"
10764,Quantum of Solace,2008-10-29,200000000,589593688,106,6.336,8279,15.7106,"['Adventure', 'Action', 'Thriller', 'Crime']"
10874,Muppet Treasure Island,1996-02-16,31000000,34327766,99,6.7,440,13.3447,"['Family', 'Comedy', 'Adventure']"
10997,Farewell My Concubine,1993-01-01,4000000,6400000,171,7.946,648,4.4227,['Drama']
11010,The Postman,1994-09-22,3000000,33000000,109,7.922,1187,1.74,"['Comedy', 'Drama', 'Romance']"
11036,The Notebook,2004-06-25,29000000,115600000,123,7.891,12234,13.5075,"['Romance', 'Drama']"
11104,Chungking Express,1994-07-14,160000,0,103,8.0,2078,6.3411,"['Drama', 'Comedy', 'Romance']"
11216,Cinema Paradiso,1988-11-17,5000000,12462062,124,8.428,4679,6.2614,"['Drama', 'Romance']"
11293,Paper Moon,1973-05-09,2500000,30900000,102,7.86,788,2.1715,"['Comedy', 'Crime', 'Drama']"
11324,Shutter Island,2010-02-14,80000000,294804195,138,8.202,25185,16.2184,"['Drama', 'Thriller', 'Mystery']"
11423,Memories of Murder,2003-04-25,2800000,26000000,131,8.052,4330,7.7457,"['Crime', 'Drama', 'Thriller']"
11645,Ran,1985-06-01,12000000,23334156,160,8.0,1717,5.0205,"['Action', 'Drama', 'History']"
11658,Tae Guk Gi: The Brotherhood of War,2004-02-05,1500000,0,148,7.989,740,1.6318,"['Action', 'Adventure', 'Drama', 'History', 'War']"
11659,The Best of Youth,2003-06-22,0,2693053,367,8.07,586,1.532,"['Drama', 'History', 'Romance']"
11712,Sanjuro,1962-01-01,0,0,96,7.95,687,1.8578,"['Drama', 'Action', 'Comedy']"
