movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_ScienceFiction,Genre_Thriller,Genre_War,Genre_Western
557,Spider-Man,2002-05-01,139000000,821708551,121,7.318,20139,17.9598,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562,Die Hard,1988-07-15,28000000,140767956,132,7.804,11895,28.195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
567,Rear Window,1954-09-01,1000000,37042336,112,8.348,6930,5.936,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
578,Jaws,1975-06-20,7000000,470653000,124,7.68,11211,19.5069,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
582,The Lives of Others,2006-03-23,2000000,77672685,137,8.038,3964,4.5406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
585,"Monsters, Inc.",2001-11-01,115000000,579700000,92,7.847,19325,18.5537,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
595,To Kill a Mockingbird,1962-12-20,2000000,13129846,129,7.995,2763,4.228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
597,Titanic,1997-11-18,200000000,2264162353,194,7.903,26598,33.7809,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
598,City of God,2002-08-30,3300000,30641770,129,8.426,7917,8.1396,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
599,Sunset Boulevard,1950-08-10,1752000,5000000,110,8.288,2814,4.1912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
600,Full Metal Jacket,1987-06-26,30000000,46357676,117,8.123,11130,8.5388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
601,E.T. the Extra-Terrestrial,1982-06-11,10500000,797307407,115,7.511,11711,25.2869,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
603,The Matrix,1999-03-31,63000000,463517383,136,8.237,27146,23.6265,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
627,Trainspotting,1996-02-23,4000000,71981823,94,7.96,10133,9.5301,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
629,The Usual Suspects,1995-07-19,6000000,23300000,106,8.172,11035,11.7916,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
637,Life Is Beautiful,1997-12-20,20000000,230098753,116,8.441,13691,7.543,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
640,Catch Me If You Can,2002-12-16,52000000,352114312,141,7.978,16603,14.3959,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
641,Requiem for a Dream,2000-10-06,4500000,7390108,102,8.014,10644,4.6577,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
652,Troy,2004-05-13,175000000,497409852,163,7.164,10756,16.3628,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
654,On the Waterfront,1954-06-22,910000,9600631,108,7.877,1701,2.2575,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
655,"Paris, Texas",1984-07-16,1750000,2181987,145,8.088,2108,4.0975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
665,Ben-Hur,1959-11-18,15000000,164000000,212,7.887,2999,9.0575,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
666,Central Station,1998-04-03,2900000,5596708,110,8.1,1007,4.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
670,Oldboy,2003-11-21,3000000,17500000,120,8.244,9423,13.0617,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
671,Harry Potter and the Philosopher's Stone,2001-11-16,125000000,976475550,152,7.899,28954,31.1353,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
672,Harry Potter and the Chamber of Secrets,2002-11-13,100000000,876688482,161,7.705,23091,22.9912,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,130000000,789804554,141,8.01,22666,21.9089,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
675,Harry Potter and the Order of the Phoenix,2007-07-08,150000000,938212738,138,7.674,20383,21.5903,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
679,Aliens,1986-07-18,18500000,183316455,137,7.955,10494,11.6451,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
680,Pulp Fiction,1994-09-10,8000000,213928762,154,8.486,29444,21.8809,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
